,reward,loss
1,4.0,0.17637212574481964
2,0.0,0.2666163444519043
3,1.0,0.12603378295898438
4,0.0,0.021791402250528336
5,0.0,0.0695592612028122
6,2.0,0.04265045374631882
7,0.0,0.07120834290981293
8,1.0,0.06145317479968071
9,4.0,0.061354123055934906
10,1.0,0.04200371354818344
11,1.0,0.02329421229660511
12,4.0,0.019747089594602585
13,0.0,0.016350330784916878
14,0.0,0.02777077443897724
15,1.0,0.021150220185518265
16,0.0,0.014333061873912811
17,0.0,0.01406070962548256
18,2.0,0.030828677117824554
19,1.0,0.007871922105550766
20,0.0,0.010203992947936058
21,2.0,0.03685089573264122
22,2.0,0.028577493503689766
23,0.0,0.010511788539588451
24,0.0,0.03435458987951279
25,0.0,0.00497776223346591
26,0.0,0.03857783228158951
27,0.0,0.011057300493121147
28,4.0,0.03935490921139717
29,4.0,0.0039998069405555725
30,1.0,0.004818824119865894
31,1.0,0.005927753169089556
32,1.0,0.006630063988268375
33,3.0,0.010206563398241997
34,1.0,0.007256621494889259
35,0.0,0.01251763105392456
36,1.0,0.017115570604801178
37,1.0,0.005774209275841713
38,1.0,0.0074022565968334675
39,3.0,0.0030638771131634712
40,1.0,0.004625679925084114
41,0.0,0.00216286932118237
42,1.0,0.0022228206507861614
43,0.0,0.0033662288915365934
44,2.0,0.003338658483698964
45,4.0,0.0016404332127422094
46,1.0,0.004783340729773045
47,2.0,0.016151079908013344
48,0.0,0.01144830510020256
49,3.0,0.009297845885157585
50,3.0,0.03908831626176834
51,4.0,0.013149603269994259
52,1.0,0.008808471262454987
53,0.0,0.006519021932035685
54,1.0,0.00442578736692667
55,0.0,0.00685583520680666
56,2.0,0.005186375230550766
57,0.0,0.0063082673586905
58,4.0,0.005621368531137705
59,0.0,0.0022835584823042154
60,2.0,0.02370484173297882
61,1.0,0.0049881222657859325
62,2.0,0.024790985509753227
63,1.0,0.004199712537229061
64,0.0,0.0019711293280124664
65,0.0,0.002969003515318036
66,0.0,0.003790193237364292
67,0.0,0.0042793164029717445
